,id,dp.pt,dp.pp,dp.l,ar.pt,ar.l,ar.wings,dp.wings
13,-4768784285816876454-2303141526-10,,,,2303142021,,,
14,-6352239150255692734-2303142006-1,2303142006,6A-C,8,,,,
15,8817258909479770029-2303141901-7,,,,2303142003,RE3,,
16,4628797216718709444-2303141332-11,,,,2303142023,,,
17,4000778904459429824-2303142034-1,2303142034,8,,,,,
18,8078349668550730967-2303142034-1,2303142034,6A-C,80,,,,
19,-657578417068350480-2303141933-6,,,,2303142043,RE4,,
20,1742705930140947893-2303142015-1,2303142015,14,RE4,,,,
21,-4183277360019515478-2303142010-4,,,,2303142053,8,,
0,-4684127518317498007-2303142106-9,,,,2303142150,81,,
1,-1588936129122896413-2303141437-14,,,,2303142136,,,
2,6926357372491300456-2303142141-1,2303142141,5,81,,,,
3,-509277690319427706-2303142151-1,2303142151,12,,,,,
4,349076185710613899-2303142134-1,2303142134,6,80,,,,
5,-4716448794900451059-2303142133-1,2303142133,13A-C,RB31,,,,
6,-7092677900906309611-2303142033-6,,,,2303142143,RE4,,
7,-5776617363706178690-2303142157-1,2303142157,13,RE3,,,,
8,2276889944093943677-2303142038-5,,,,2303142125,80,,
9,-4853549543155830626-2303141237-16,,,,2303142139,,,
10,2837789594901453493-2303142115-1,2303142115,11A-C,RE4,,,,
11,3322370046128941891-2303142137-1,2303142137,13D-F,RB41,,,,
12,8620543286702518895-2303141958-15,,,,2303142126,RB41,,
13,-1621849622641880552-2303142032-10,,,,2303142121,RB31,,
14,-4651091680957662997-2303141908-19,,,,2303142139,1,,
15,-4692826628620809565-2303142110-4,,,,2303142153,8,,
16,-5033423880624192770-2303142001-7,,,,2303142104,RE3,,
17,3791225035509403165-2303142108-1,2303142108,6A-C,8,,,,
0,-2991242414688689415-2303142058-15,,,,2303142226,RB41,,
1,5934575629537714195-2303142101-7,,,,2303142203,RE3,,
2,5087702450251433679-2303141832-7,,,,2303142222,,,
3,8633790364348288811-2303142237-1,2303142237,11,RB41,,,,
4,1645690183033695457-2303142234-1,2303142234,14,RB31,,,,
5,-6004858853457181289-2303142138-5,,,,2303142225,80,,
